NORAD_CAT_ID,RCS
47,2.9661
58,1.2843
59,3.4517
118,1.6476
134,1.557
163,9.2155
192,7.9063
202,1.9757
204,3.181
271,8.2159
424,1.08
426,5.11
447,3.3285
574,10.0295
589,1.0326
622,8.6031
629,1.0664
669,3.2528
671,1.5705
694,6.388
703,3.3116
704,1.1223
705,1.2861
727,7.1944
733,4.474
741,3.7857
746,2.7047
801,1.1986
815,4.9753
829,2.6808
876,3.7615
877,5.6361
893,3.3719
899,1.423
901,1.1909999999999998
953,3.3725
959,1.4284
965,1.0078
1000,3.0959
1001,10.6452
1245,4.9113
1314,5.3791
1328,2.0809
1359,15.0902
1420,1.4843
1428,3.3749
1508,3.2277
1510,1.416
1514,1.4572
1575,5.6074
1589,5.3927
1642,2.2375
1646,1.5225
1668,2.7602
1680,2.0856
1684,1.3084
1716,1.797
1726,1.2963
1805,1.0496
1807,4.4151
1863,10.25
1864,1.1521
1952,1.3256
2016,1.2371
2119,1.2861
2142,12.1059
2144,6.0394
2173,1.959
2174,4.6871
2176,1.1152
2255,6.6496
2256,1.2874
2401,1.4245
2403,10.2745
2422,1.7305
2481,15.2254
2511,1.1154
2621,1.138
2622,1.0675
2671,1.2329999999999999
2682,1.194
2741,1.761
2754,1.2783
2801,1.7939
2802,4.3558
2807,1.4297
2825,4.6481
2940,1.5841
2965,1.3187
2985,1.5511
3047,2.5999
3048,4.1484
3081,1.8345
3093,1.4615
3129,1.929
3131,4.3567
3158,1.569
3212,1.0671
3229,2.9366
3230,4.111000000000001
3271,1.59
3307,15.7157
3338,1.0726
3346,4.8519
3504,4.7964
3522,1.837
3530,4.5805
3576,2.8184
3577,4.3936
3597,2.2880000000000003
3598,11.911
3616,4.0847
3669,1.8530000000000002
3818,2.489
3819,4.9001
3827,1.0284
3890,2.3971
3892,4.1698
4048,1.6019999999999999
4070,2.194
4071,4.3508
4138,1.825
4139,3.532
4159,4.2326
4216,2.5938
4247,1.0661
4254,2.5111
4255,4.2506
4320,2.0986
4322,4.523
4327,4.467
4332,1.5471
4362,2.6535
4367,3.344
4369,2.859
4370,4.4268
4382,1.0
4391,5.7047
4394,6.237
4419,3.9182
4420,6.662999999999999
4507,1.3815
4513,1.7169
4564,2.166
4578,2.2897
4579,4.0706
4588,2.9514
4589,4.2775
4597,5.2087
4598,5.477
4657,1.0590000000000002
4675,2.8738
4783,4.3024
4784,4.6585
4786,19.1591
4793,2.115
4794,4.6419999999999995
4799,2.935
4800,4.3409
4814,6.046
4922,1.2405
4954,1.555
4964,5.8660000000000005
5050,1.3948
5051,4.4982
5104,1.7281
5105,2.3283
5117,5.4715
5118,6.3096
5174,2.0098
5175,4.417
5180,2.4377
5181,4.3049
5218,5.7849
5238,2.5696
5239,4.2032
5395,1.45
5397,2.1935
5435,1.2209999999999999
5555,6.3696
5556,1.1664
5557,1.1207
5560,8.152000000000001
5614,2.7834
5615,4.2909
5683,3.1802
5685,4.5159
5705,2.2632
5707,3.9137
5721,2.3444
5729,2.0812
5730,5.234
5731,3.6945
5732,6.7122
5846,2.1254
5847,4.4321
5903,1.1769
5904,1.125
5905,2.6738
5907,4.6407
5917,4.0216
5918,6.0611
6019,1.7997
6020,4.2425
6059,2.282
6061,4.4168
6079,3.9249
6080,6.4176
6125,5.9769
6126,2.6723
6127,5.0321
6148,2.0863
6149,4.124
6153,6.42
6154,2.4995
6155,11.584000000000001
6206,1.358
6207,4.6168
6217,1.3797
6218,2.6014
6235,2.3278
6237,4.0937
6256,3.8558
6257,6.0679
6271,5.9554
6275,1.1963
6276,1.0799
6305,2.9256
6306,4.2351
6319,2.2929
6320,4.485
6323,2.0064
6324,4.1011
6350,1.656
6392,4.2273
6393,6.0719
6659,4.0941
6660,6.5089999999999995
6683,5.9467
6707,1.5547
6708,4.5066
6787,1.3294
6788,1.1540000000000001
6825,2.8281
6826,4.2708
6828,1.9169999999999998
6829,4.7644
6853,5.3387
6909,1.2826
6920,2.4535
6921,3.4960000000000004
6965,2.0082
6966,4.8043
6993,6.0033
7003,2.028
7005,2.7348
7008,1.798
7009,3.892
7028,1.0625
7032,2.8387
7094,2.0096
7095,4.2046
7209,3.8105
7210,5.7483
7218,1.123
7219,1.0826
7273,5.952999999999999
7274,4.0242
7275,6.367000000000001
7281,2.9233
7284,4.7169
7291,2.026
7297,2.946
7337,2.9410000000000003
7349,1.9313
7350,4.1709
7363,4.4523
7364,6.6
7411,1.2309999999999999
7412,1.13
7424,2.667
7426,5.211
7433,2.0473
7434,4.2025
7443,5.4682
7476,1.841
7477,3.9359
7490,3.9187
7493,6.5762
7529,2.5191
7574,3.701
7575,6.75
7593,1.8634
7594,4.3015
7615,2.7969999999999997
7616,4.9089
7663,2.8039
7665,5.0701
7686,6.106
7714,3.8747
7715,6.3965
7718,2.5393
7727,2.2948
7734,1.2801
7735,4.9404
7736,3.1568
7737,4.5015
7768,1.5921
7769,4.488
7831,5.943
7902,14.73
7924,3.2315
7946,5.482
8026,4.5425
8027,5.5789
8072,1.9419
8073,4.4639999999999995
8136,5.644
8197,1.4269999999999998
8293,4.0482
8294,6.6575
8295,5.9316
8311,2.4419
8325,2.5108
8326,4.9594
8343,2.9864
8344,3.992
8398,1.1882
8419,2.194
8421,4.5321
8458,1.9311
8459,4.0731
8473,2.68
8519,3.9958
8520,6.0657
8591,3.4789999999999996
8597,4.3295
8615,5.9386
8645,1.6375
8646,3.8862
8688,1.287
8709,1.1407
8710,1.4641
8744,2.9810000000000003
8799,3.112
8800,6.7965
8822,2.4091
8845,4.03
8846,5.1982
8860,1.268
8873,1.764
8874,4.638999999999999
8897,5.6399
8923,1.7502
8924,4.2449
8956,1.5330000000000001
9013,5.3761
9022,2.0359
9023,4.0921
9025,2.592
9044,3.7526
9057,1.6254
9061,1.5781
9062,3.9989999999999997
9063,5.3979
9443,2.0532
9444,4.1953
9481,3.7331
9482,6.8905
9486,2.282
9494,2.2699
9509,2.1255
9510,4.184
9598,5.996
9610,1.7189
9613,4.1296
9634,4.5123
9637,1.9406
9638,4.0579
9661,4.9155
9662,5.611000000000001
9737,1.666
9738,4.173
9786,8.9462
9841,1.4266
9846,3.135
9848,4.4611
9903,3.5882
9904,6.697
10010,1.3944
10011,4.9427
10019,2.3844
10020,4.7085
10062,8.888
10095,2.4311
10096,3.1462
10114,5.9376
10120,1.8433
10121,4.448
10137,1.6321
10138,4.3398
10141,2.061
10142,4.4341
10144,4.9015
10184,3.8672
10234,1.0577
10293,5.733
10295,8.939
10352,3.7372
10355,3.9631
10358,2.53
10457,1.6282
10459,1.5277
10461,4.815
10490,9.111
10491,2.4859
10492,4.4869
10512,1.3514
10513,4.4157
10514,4.5824
10515,5.6566
10517,8.5089
10520,2.0157
10521,4.0593
10531,3.878
10536,2.0093
10537,4.1709
10539,2.187
10541,4.7118
10591,5.9806
10599,2.4472
10600,4.1255
10664,1.0127
10674,1.3385
10675,1.1006
10676,2.1645
10677,4.1696
10692,2.0174
10693,4.1371
10702,2.7612
10704,4.9363
10723,1.9006
10730,1.9569999999999999
10731,2.0259
10732,4.0579
10744,2.0
10745,4.4355
10776,1.4484
10777,4.0281
10779,15.12
10793,9.056000000000001
10820,3.3972
10856,9.4429
10894,2.0188
10917,2.0622
10918,4.6501
10938,5.7557
10954,8.6409
10961,2.742
10962,4.2286
10967,9.412
10974,4.122
